2018	21330318300015	\N	033	318	PESSAC	62260	M14	041	1	21330318300015	\N	00	0	1	160	M14	3	PESSAC	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2017	00:00:00	6	\N	\N	\N	\N	\N	\N	\N	\N	075	\N	\N	\N	1	1	22/02/2019	22/02/2019	033041	\N	\N	\N	\N	\N	\N	MAIRIE	TRESORERIE	076	243300316	MET	FPU	28	O	\N	Aucune strate	\N	2019-10-10 12:20:27.988758
2010	21330318300015	\N	033	318	PESSAC	58727	M14	041	1	21330318300015	\N	00	0	1	160	M14	3	PESSAC	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2009	20:00:00	6	0	0	0	0	0	0	\N	\N	072	\N	\N	\N	1	1	15/03/2011	15/03/2011	033041	\N	\N	\N	\N	\N	\N	MAIRIE	\N	069	243300316	CU	TPU	27	O	\N	Aucune strate	\N	\N
2011	21330318300015	\N	033	318	PESSAC	58540	M14	041	1	21330318300015	\N	00	0	1	160	M14	3	PESSAC	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2010	20:00:00	6	0	0	0	0	0	0	\N	\N	072	\N	\N	\N	1	1	19/03/2012	19/03/2012	033041	\N	\N	\N	\N	\N	\N	MAIRIE	\N	069	243300316	CU	FPU	27	O	2013-01-11 11:08:08	Aucune strate	\N	\N
2009	21330318300015	\N	033	318	PESSAC	58069	M14	041	1	21330318300015	\N	00	0	1	160	M14	3	PESSAC	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2008	20:00:00	6	0	0	0	0	0	0	\N	\N	072	\N	\N	\N	1	1	16/03/2010	16/03/2010	033041	\N	\N	\N	\N	\N	\N	MAIRIE	\N	069	243300316	CU	TPU	27	\N	\N	Aucune strate	\N	\N
2012	21330318300015	\N	033	318	PESSAC	58504	M14	041	1	21330318300015	\N	00	0	1	160	M14	3	PESSAC	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2011	20:00:00	6	0	0	0	0	0	0	\N	\N	072	\N	\N	\N	1	1	04/03/2013	04/03/2013	033041	\N	\N	\N	\N	\N	\N	MAIRIE	\N	069	243300316	CU	FPU	27	O	2014-01-14 17:04:47	Aucune strate	\N	\N
2013	21330318300015	\N	033	318	PESSAC	58977	M14	041	1	21330318300015	\N	00	0	1	160	M14	3	PESSAC	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2012	20:00:00	6	0	0	0	0	0	0	\N	\N	072	\N	\N	\N	1	1	16/03/2014	16/03/2014	033041	\N	\N	\N	\N	\N	\N	MAIRIE	\N	069	243300316	CU	FPU	27	O	2015-01-09 08:46:49	Aucune strate	\N	\N
2014	21330318300015	\N	033	318	PESSAC	59740	M14	041	1	21330318300015	\N	00	0	1	160	M14	3	PESSAC	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2013	20:00:00	6	0	0	0	0	0	0	\N	\N	072	\N	\N	\N	1	1	08/03/2015	08/03/2015	033041	\N	\N	\N	\N	\N	\N	MAIRIE	\N	069	243300316	CU	FPU	28	O	2016-01-11 19:46:38	Aucune strate	\N	\N
2015	21330318300015	\N	033	318	PESSAC	60246	M14	041	1	21330318300015	\N	00	0	1	160	M14	4	PESSAC	1	\N	\N	\N	\N	\N	101	00	40	2002	09/11/2015	14:03:38	6	0	0	0	0	0	0	\N	\N	075	\N	\N	\N	1	1	04/03/2016	04/03/2016	033041	\N	\N	\N	\N	\N	\N	MAIRIE	\N	069	243300316	MET	FPU	28	O	2017-02-08 20:24:46	Aucune strate	\N	\N
2016	21330318300015	\N	033	318	PESSAC	61760	M14	041	1	21330318300015	\N	00	0	1	160	M14	3	PESSAC	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2015	00:00:00	6	\N	\N	\N	\N	\N	\N	\N	\N	075	\N	\N	\N	1	1	24/02/2017	24/02/2017	033041	\N	\N	\N	\N	\N	\N	MAIRIE	\N	076	243300316	MET	FPU	28	O	2018-01-09 14:27:00	Aucune strate	\N	\N
2017	21330318300015	\N	033	318	PESSAC	62535	M14	041	1	21330318300015	\N	00	0	1	160	M14	3	PESSAC	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2016	00:00:00	6	\N	\N	\N	\N	\N	\N	\N	\N	075	\N	\N	\N	1	1	23/02/2018	23/02/2018	033041	\N	\N	\N	\N	\N	\N	MAIRIE	\N	076	243300316	MET	FPU	28	O	2019-01-09 17:38:31	Aucune strate	\N	\N
2019	21810163200014	\N	081	163	MAZAMET	10421	M14	028	1	21810163200014	\N	00	0	1	113	M14	3	MAZAMET	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2018	00:00:00	6	\N	\N	\N	\N	\N	\N	\N	\N	076	\N	\N	\N	\N	\N	\N	\N	081028	\N	\N	\N	\N	\N	\N	MAIRIE	TRESORERIE	076	248100430	CA	FPU	14	O	\N	Aucune strate	\N	2019-10-10 12:20:27.988758
2018	21810163200014	\N	081	163	MAZAMET	10548	M14	028	1	21810163200014	\N	00	0	1	113	M14	3	MAZAMET	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2017	00:00:00	6	\N	\N	\N	\N	\N	\N	\N	\N	076	\N	\N	\N	1	1	15/02/2019	15/02/2019	081028	\N	\N	\N	\N	\N	\N	MAIRIE	TRESORERIE	076	248100430	CA	FPU	14	O	\N	Aucune strate	\N	2019-10-10 12:20:27.988758
2010	21810163200014	\N	081	163	MAZAMET	10590	M14	028	1	21810163200014	\N	00	0	1	113	M14	3	MAZAMET	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2009	20:00:00	6	0	0	0	0	0	0	\N	\N	073	\N	\N	\N	1	1	22/03/2011	22/03/2011	081028	\N	\N	\N	\N	\N	\N	MAIRIE	\N	006	248100430	CA	TPU	16	O	\N	Aucune strate	\N	\N
2011	21810163200014	\N	081	163	MAZAMET	10422	M14	028	1	21810163200014	\N	00	0	1	113	M14	3	MAZAMET	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2010	20:00:00	6	0	0	0	0	0	0	\N	\N	073	\N	\N	\N	1	1	05/03/2012	05/03/2012	081028	\N	\N	\N	\N	\N	\N	MAIRIE	\N	006	248100430	CA	FPU	16	O	2013-01-11 11:08:08	Aucune strate	\N	\N
2009	21810163200014	\N	081	163	MAZAMET	10682	M14	028	1	21810163200014	\N	00	0	1	113	M14	3	MAZAMET	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2008	20:00:00	6	0	0	0	0	0	0	\N	\N	073	\N	\N	\N	1	1	16/03/2010	16/03/2010	081028	\N	\N	\N	\N	\N	\N	MAIRIE	\N	006	248100430	CA	TPU	16	\N	\N	Aucune strate	\N	\N
2012	21810163200014	\N	081	163	MAZAMET	10413	M14	028	1	21810163200014	\N	00	0	1	113	M14	3	MAZAMET	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2011	20:00:00	6	0	0	0	0	0	0	\N	\N	073	\N	\N	\N	1	1	25/03/2013	25/03/2013	081028	\N	\N	\N	\N	\N	\N	MAIRIE	\N	006	248100430	CA	FPU	16	O	2014-01-14 17:04:47	Aucune strate	\N	\N
2013	21810163200014	\N	081	163	MAZAMET	10437	M14	028	1	21810163200014	\N	00	0	1	113	M14	3	MAZAMET	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2012	20:00:00	6	0	0	0	0	0	0	\N	\N	073	\N	\N	\N	1	1	23/02/2014	23/02/2014	081028	\N	\N	\N	\N	\N	\N	MAIRIE	\N	006	248100430	CA	FPU	16	O	2015-01-09 08:46:49	Aucune strate	\N	\N
2014	21810163200014	\N	081	163	MAZAMET	10557	M14	028	1	21810163200014	\N	00	0	1	113	M14	3	MAZAMET	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2013	20:00:00	6	0	0	0	0	0	0	\N	\N	073	\N	\N	\N	2	2	02/03/2015	02/03/2015	081028	\N	\N	\N	\N	\N	\N	MAIRIE	\N	006	248100430	CA	FPU	16	O	2016-01-11 19:46:38	Aucune strate	\N	\N
2015	21810163200014	\N	081	163	MAZAMET	10535	M14	028	1	21810163200014	\N	00	0	1	113	M14	4	MAZAMET	1	\N	\N	\N	\N	\N	101	00	40	2002	27/08/2015	11:10:10	6	0	0	0	0	0	0	\N	\N	076	\N	\N	\N	1	1	11/03/2016	11/03/2016	081028	\N	\N	\N	\N	\N	\N	MAIRIE	\N	006	248100430	CA	FPU	16	O	2017-02-08 20:24:46	Aucune strate	\N	\N
2016	21810163200014	\N	081	163	MAZAMET	10587	M14	028	1	21810163200014	\N	00	0	1	113	M14	3	MAZAMET	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2015	00:00:00	6	\N	\N	\N	\N	\N	\N	\N	\N	076	\N	\N	\N	1	1	24/02/2017	24/02/2017	081028	\N	\N	\N	\N	\N	\N	MAIRIE	\N	076	248100430	CA	FPU	16	O	2018-01-09 14:27:00	Aucune strate	\N	\N
2017	21810163200014	\N	081	163	MAZAMET	10657	M14	028	1	21810163200014	\N	00	0	1	113	M14	3	MAZAMET	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2016	00:00:00	6	\N	\N	\N	\N	\N	\N	\N	\N	076	\N	\N	\N	1	1	16/02/2018	16/02/2018	081028	\N	\N	\N	\N	\N	\N	MAIRIE	\N	076	248100430	CA	FPU	14	O	2019-01-09 17:38:31	Aucune strate	\N	\N
